Iteration,Throughput,Optimum,Runtime
0,437.912896,437.912896,242.07989120483398
1,443.353606,443.353606,308.06005477905273
2,433.834332,443.353606,113.23474526405334
3,424.931069,443.353606,412.3640160560608
4,431.470222,443.353606,151.2274296283722
5,447.797604,447.797604,73.50379395484924
6,437.81851,447.797604,86.4517548084259
7,433.996124,447.797604,356.8151433467865
8,439.050617,447.797604,74.73192238807678
9,448.952322,448.952322,215.25540375709534
10,438.621426,448.952322,177.89810967445374
11,439.382416,448.952322,77.74671387672424
12,432.131613,448.952322,92.87162756919861
13,439.727552,448.952322,71.55163764953613
14,437.217107,448.952322,75.00165009498596
15,413.146987,448.952322,74.36519074440002
16,437.777089,448.952322,88.07854986190796
17,435.454387,448.952322,89.83919954299927
18,439.72838,448.952322,88.36611557006836
19,380.85705,448.952322,90.36785769462585
20,431.47935,448.952322,72.48674130439758
21,383.411917,448.952322,78.81393957138062
22,409.808051,448.952322,106.7510781288147
23,347.87308,448.952322,87.51691627502441
24,430.999577,448.952322,75.99196982383728
25,440.785854,448.952322,75.23171472549438
26,426.682174,448.952322,84.42165517807007
27,408.259573,448.952322,85.17941403388977
28,436.555598,448.952322,87.05244278907776
29,186.703985,448.952322,86.00488901138306
30,272.242098,448.952322,77.54963684082031
31,328.010883,448.952322,74.80313324928284
32,344.066662,448.952322,102.55212140083313
33,253.930923,448.952322,93.06425285339355
34,359.285143,448.952322,98.78792190551758
35,200.103557,448.952322,85.23173546791077
36,290.342893,448.952322,76.5286808013916
37,312.513868,448.952322,88.37969160079956
38,307.413203,448.952322,85.34945702552795
39,260.104668,448.952322,82.502432346344
40,246.610045,448.952322,129.0795135498047
41,236.441713,448.952322,72.92222714424133
42,286.244631,448.952322,89.45741415023804
43,319.970897,448.952322,85.15057349205017
44,253.864747,448.952322,84.3197832107544
45,283.459011,448.952322,75.1420521736145
46,352.399748,448.952322,88.79272031784058
47,45.919662,448.952322,83.00790190696716
48,308.361585,448.952322,94.03801679611206
49,326.666053,448.952322,81.23071455955505
50,325.310089,448.952322,81.51614594459534
51,341.747688,448.952322,116.97762966156006
52,298.23222,448.952322,99.24879479408264
53,285.181856,448.952322,95.92740774154663
54,256.895615,448.952322,102.07102108001709
55,178.476232,448.952322,84.13307785987854
56,204.736395,448.952322,75.4105978012085
57,252.073435,448.952322,75.21584105491638
58,245.226932,448.952322,86.05071902275085
59,1546.839867,1546.839867,73.5243067741394
60,1547.662045,1547.662045,80.68907833099365
61,1543.922649,1547.662045,81.56456160545349
62,1526.173371,1547.662045,83.51420855522156
63,1545.129072,1547.662045,95.3644380569458
64,1548.658285,1548.658285,77.34447145462036
65,1548.136197,1548.658285,80.15301871299744
66,1537.9853,1548.658285,75.68835282325745
67,1528.628399,1548.658285,81.57607865333557
68,1549.052631,1549.052631,87.54611730575562
69,1555.942917,1555.942917,81.9745180606842
70,1529.656805,1555.942917,83.33596014976501
71,1543.617075,1555.942917,82.54023051261902
72,1559.716142,1559.716142,76.04605960845947
73,1552.347902,1559.716142,91.8415138721466
74,1530.182578,1559.716142,78.69762086868286
75,1546.065065,1559.716142,90.32010507583618
76,1551.769258,1559.716142,83.72466802597046
77,1528.514444,1559.716142,79.39717221260071
78,1537.554984,1559.716142,83.08264303207397
79,1531.416118,1559.716142,86.29129672050476
80,1545.226949,1559.716142,72.91289067268372
81,1539.010589,1559.716142,92.97321057319641
82,1535.892627,1559.716142,88.47211933135986
83,1538.410385,1559.716142,72.9022901058197
84,1548.473247,1559.716142,75.53820872306824
85,1554.054044,1559.716142,82.09207582473755
86,1517.226172,1559.716142,78.34493708610535
87,1549.134698,1559.716142,101.53955578804016
88,1545.259367,1559.716142,75.47936391830444
89,51.631872,1559.716142,77.88376474380493
90,53.601269,1559.716142,72.78057265281677
91,48.876358,1559.716142,81.05087327957153
92,45.340256,1559.716142,80.12454795837402
93,43.045847,1559.716142,75.32561373710632
94,32.622858,1559.716142,96.44708132743835
95,34.25378,1559.716142,130.38142609596252
96,44.042308,1559.716142,99.6103732585907
97,42.84918,1559.716142,93.47233176231384
98,42.284665,1559.716142,87.66257643699646
99,46.207489,1559.716142,76.48072218894958
100,43.674176,1559.716142,89.33690309524536
101,44.150544,1559.716142,74.92741847038269
102,34.158966,1559.716142,73.39988660812378
103,42.700385,1559.716142,100.43923282623291
104,48.094421,1559.716142,112.58405232429504
105,49.025508,1559.716142,74.29533243179321
106,49.66843,1559.716142,96.9958643913269
107,32.258081,1559.716142,81.5852530002594
108,47.448517,1559.716142,118.01923036575317
109,48.480319,1559.716142,76.09010696411133
110,45.108366,1559.716142,74.41446781158447
111,49.296431,1559.716142,92.44123816490173
112,49.981224,1559.716142,81.27161026000977
113,50.866637,1559.716142,78.2647910118103
114,29.506125,1559.716142,76.10290169715881
115,41.277197,1559.716142,79.1554582118988
116,48.880879,1559.716142,91.53969717025757
117,44.595123,1559.716142,76.11874842643738
118,40.127232,1559.716142,74.87976217269897
119,314.639693,1559.716142,147.52601647377014
120,267.897252,1559.716142,82.96112990379333
121,289.171194,1559.716142,73.34741425514221
122,231.340544,1559.716142,74.18379235267639
123,178.023999,1559.716142,87.02048230171204
124,266.266544,1559.716142,74.85335993766785
125,256.67982,1559.716142,72.89188575744629
126,266.822523,1559.716142,76.35530233383179
127,285.272381,1559.716142,74.95383167266846
128,270.658263,1559.716142,93.77632164955139
129,192.885552,1559.716142,92.73578023910522
130,227.35446,1559.716142,73.7146692276001
131,281.085444,1559.716142,74.69239449501038
132,157.97502,1559.716142,74.50080442428589
133,315.518417,1559.716142,79.52627301216125
134,277.038362,1559.716142,75.6868736743927
135,284.352651,1559.716142,74.79310464859009
136,226.978242,1559.716142,73.82205080986023
137,286.440604,1559.716142,88.76116418838501
138,291.17056,1559.716142,76.17094039916992
139,292.061924,1559.716142,77.98185682296753
140,177.666143,1559.716142,72.61900424957275
141,307.708843,1559.716142,76.00179958343506
142,319.412695,1559.716142,75.91394686698914
143,210.803533,1559.716142,104.95992875099182
144,129.939424,1559.716142,128.93069291114807
145,262.226336,1559.716142,74.9999635219574
146,228.240577,1559.716142,75.26147508621216
147,194.558333,1559.716142,74.64265704154968
148,271.417915,1559.716142,76.79123020172119
149,33.060755,1559.716142,78.57773280143738
150,31.60067,1559.716142,74.70840716362
151,32.60493,1559.716142,77.34727787971497
152,41.51837,1559.716142,84.57477283477783
153,32.313108,1559.716142,87.22385549545288
154,35.345134,1559.716142,101.90569925308228
155,36.535548,1559.716142,73.47782182693481
156,29.461189,1559.716142,77.50762748718262
157,27.484349,1559.716142,77.15212750434875
158,28.152581,1559.716142,92.49256157875061
159,34.075635,1559.716142,74.01225519180298
160,31.618809,1559.716142,74.14659595489502
161,34.208408,1559.716142,73.76582598686218
162,30.120175,1559.716142,77.22288060188293
163,37.939705,1559.716142,86.90431213378906
164,37.944573,1559.716142,80.64296674728394
165,33.537802,1559.716142,109.11067175865173
166,31.8399,1559.716142,96.1021375656128
167,32.077615,1559.716142,82.8898651599884
168,35.629778,1559.716142,88.79953789710999
169,32.746019,1559.716142,84.66116976737976
170,36.26107,1559.716142,77.84230709075928
171,36.140394,1559.716142,78.50247836112976
172,28.865836,1559.716142,79.53133010864258
173,37.334933,1559.716142,102.34621691703796
174,29.217356,1559.716142,102.0560712814331
175,30.024894,1559.716142,77.35339093208313
176,38.333253,1559.716142,83.85164093971252
177,27.592902,1559.716142,78.25543642044067
178,25.065201,1559.716142,83.43033409118652
179,1769.912631,1769.912631,73.68545651435852
180,1769.394612,1769.912631,71.51914954185486
